# ----------------------------------------
# All Web Site Data
# Channels
# 20201215-20210104
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Organic Search,133,131,152,42.76%,3.15,00:02:15,0.00%,0,$0.00
Direct,102,102,123,73.98%,1.82,00:01:00,3.25%,4,$0.00
Referral,4,3,14,28.57%,10.43,00:27:21,35.71%,5,$0.00
Social,4,4,12,41.67%,4.50,00:15:05,0.00%,0,$0.00
,243,240,301,54.82%,3.00,00:03:25,2.99%,9,$0.00

Day Index,Users
12/15/20,11
12/16/20,12
12/17/20,12
12/18/20,9
12/19/20,1
12/20/20,9
12/21/20,8
12/22/20,12
12/23/20,52
12/24/20,7
12/25/20,5
12/26/20,8
12/27/20,10
12/28/20,16
12/29/20,17
12/30/20,20
12/31/20,15
1/1/21,11
1/2/21,6
1/3/21,13
1/4/21,20
,274
